term	estimate	low	high
GABA_static.bed.1	1.55	0.68	2.42
NmCp_glut_static.bed.1	2.477	1.577	3.377
NPC_static.bed.1	1.604	0.847	2.36
NpCm_glut_static.bed.1	0.922	0.125	1.719
DA_540k_1vs0_GABA_annotated.tsv.1	2.399	0.658	4.14
DA_540k_1vs0_NEFMm_annotated.tsv.1	0.7	-1.083	2.483
DA_540k_1vs0_NEFMp_annotated.tsv.1	2.103	0.872	3.334
DA_540k_1vs0_NPC_annotated.tsv.1	2.871	-15.507	21.248
DA_540k_6vs0_GABA_annotated.tsv.1	2.878	1.515	4.24
DA_540k_6vs0_NEFMm_annotated.tsv.1	1.928	0.663	3.193
DA_540k_6vs0_NEFMp_annotated.tsv.1	2.312	1.408	3.215
DA_540k_6vs0_NPC_annotated.tsv.1	-6.568	-165.972	152.836
