term	estimate	low	high
Intercept	-8.892	-8.913	-8.872
GABA_static.bed.1	-1.133	-2.261	-0.005
NmCp_glut_static.bed.1	-0.027	-1.701	1.647
NPC_static.bed.1	0.494	-0.828	1.817
NpCm_glut_static.bed.1	1.115	0.078	2.152
GABA_1v0hr.bed.1	-1.342	-2.144	-0.539
GABA_6v0hr.bed.1	0.823	0.026	1.619
NmCp_glut_1v0hr.bed.1	2.936	1.653	4.219
NmCp_glut_6v0hr.bed.1	-1.489	-2.168	-0.809
NPC_1v0hr.bed.1	1.225	-2.593	5.043
NPC_6v0hr.bed.1	0.358	-10.497	11.213
NpCm_glut_1v0hr.bed.1	1.471	0.542	2.4
NpCm_glut_6v0hr.bed.1	-0.899	-1.689	-0.109
