term	estimate	low	high
Intercept	-8.926	-8.946	-8.906
GABA_static.bed.1	0.329	-0.089	0.747
NmCp_glut_static.bed.1	1.618	0.991	2.246
NPC_static.bed.1	-0.162	-4.277	3.953
NpCm_glut_static.bed.1	0.53	0.124	0.935
GABA_1v0hr.bed.1	-1.515	-2.5	-0.531
GABA_6v0hr.bed.1	0.329	-0.77	1.428
NmCp_glut_1v0hr.bed.1	2.355	0.957	3.753
NmCp_glut_6v0hr.bed.1	-1.19	-2.16	-0.22
NPC_1v0hr.bed.1	0.735	-2.198	3.667
NPC_6v0hr.bed.1	0.167	-2.175	2.51
NpCm_glut_1v0hr.bed.1	0.703	-0.301	1.707
NpCm_glut_6v0hr.bed.1	-0.894	-1.893	0.105
